Date,Close
02/01/2015,17.790001
05/01/2015,19.92
06/01/2015,21.120001
07/01/2015,19.309999
08/01/2015,17.01
09/01/2015,17.549999
12/01/2015,19.6
13/01/2015,20.559999
14/01/2015,21.48
15/01/2015,22.389999
16/01/2015,20.950001
20/01/2015,19.889999
21/01/2015,18.85
22/01/2015,16.4
23/01/2015,16.66
26/01/2015,15.52
27/01/2015,17.219999
28/01/2015,20.440001
29/01/2015,18.76
30/01/2015,20.969999
02/02/2015,19.43
03/02/2015,17.33
04/02/2015,18.33
05/02/2015,16.85
06/02/2015,17.290001
09/02/2015,18.549999
10/02/2015,17.23
11/02/2015,16.959999
12/02/2015,15.34
13/02/2015,14.69
17/02/2015,15.8
18/02/2015,15.45
19/02/2015,15.29
20/02/2015,14.3
23/02/2015,14.56
24/02/2015,13.69
25/02/2015,13.84
26/02/2015,13.91
27/02/2015,13.34
02/03/2015,13.04
03/03/2015,13.86
04/03/2015,14.23
05/03/2015,14.04
06/03/2015,15.2
09/03/2015,15.06
10/03/2015,16.690001
11/03/2015,16.870001
12/03/2015,15.42
13/03/2015,16
16/03/2015,15.61
17/03/2015,15.66
18/03/2015,13.97
19/03/2015,14.07
20/03/2015,13.02
23/03/2015,13.41
24/03/2015,13.62
25/03/2015,15.44
26/03/2015,15.8
27/03/2015,15.07
30/03/2015,14.51
31/03/2015,15.29
01/04/2015,15.11
02/04/2015,14.67
06/04/2015,14.74
07/04/2015,14.78
08/04/2015,13.98
09/04/2015,13.09
10/04/2015,12.58
13/04/2015,13.94
14/04/2015,13.67
15/04/2015,12.84
16/04/2015,12.6
17/04/2015,13.89
20/04/2015,13.3
21/04/2015,13.25
22/04/2015,12.71
23/04/2015,12.48
24/04/2015,12.29
27/04/2015,13.12
28/04/2015,12.41
29/04/2015,13.39
30/04/2015,14.55
01/05/2015,12.7
04/05/2015,12.85
05/05/2015,14.31
06/05/2015,15.15
07/05/2015,15.13
08/05/2015,12.86
11/05/2015,13.85
12/05/2015,13.86
13/05/2015,13.76
14/05/2015,12.74
15/05/2015,12.38
18/05/2015,12.73
19/05/2015,12.85
20/05/2015,12.88
21/05/2015,12.11
22/05/2015,12.13
26/05/2015,14.06
27/05/2015,13.27
28/05/2015,13.31
29/05/2015,13.84
01/06/2015,13.97
02/06/2015,14.24
03/06/2015,13.66
04/06/2015,14.71
05/06/2015,14.21
08/06/2015,15.29
09/06/2015,14.47
10/06/2015,13.22
11/06/2015,12.85
12/06/2015,13.78
15/06/2015,15.39
16/06/2015,14.81
17/06/2015,14.5
18/06/2015,13.19
19/06/2015,13.96
22/06/2015,12.74
23/06/2015,12.11
24/06/2015,13.26
25/06/2015,14.01
26/06/2015,14.02
29/06/2015,18.85
30/06/2015,18.23
01/07/2015,16.09
02/07/2015,16.790001
06/07/2015,17.01
07/07/2015,16.09
08/07/2015,19.66
09/07/2015,19.969999
10/07/2015,16.83
13/07/2015,13.9
14/07/2015,13.37
15/07/2015,13.23
16/07/2015,12.11
17/07/2015,11.95
20/07/2015,12.25
21/07/2015,12.22
22/07/2015,12.12
23/07/2015,12.64
24/07/2015,13.74
27/07/2015,15.6
28/07/2015,13.44
29/07/2015,12.5
30/07/2015,12.13
31/07/2015,12.12
03/08/2015,12.56
04/08/2015,13
05/08/2015,12.51
06/08/2015,13.77
07/08/2015,13.39
10/08/2015,12.23
11/08/2015,13.71
12/08/2015,13.61
13/08/2015,13.49
14/08/2015,12.83
17/08/2015,13.02
18/08/2015,13.79
19/08/2015,15.25
20/08/2015,19.139999
21/08/2015,28.030001
24/08/2015,40.740002
25/08/2015,36.02
26/08/2015,30.32
27/08/2015,26.1
28/08/2015,26.049999
31/08/2015,28.43
01/09/2015,31.4
02/09/2015,26.09
03/09/2015,25.610001
04/09/2015,27.799999
08/09/2015,24.9
09/09/2015,26.23
10/09/2015,24.370001
11/09/2015,23.200001
14/09/2015,24.25
15/09/2015,22.540001
16/09/2015,21.35
17/09/2015,21.139999
18/09/2015,22.280001
21/09/2015,20.139999
22/09/2015,22.440001
23/09/2015,22.129999
24/09/2015,23.469999
25/09/2015,23.620001
28/09/2015,27.629999
29/09/2015,26.83
30/09/2015,24.5
01/10/2015,22.549999
02/10/2015,20.940001
05/10/2015,19.540001
06/10/2015,19.4
07/10/2015,18.4
08/10/2015,17.42
09/10/2015,17.08
12/10/2015,16.17
13/10/2015,17.67
14/10/2015,18.030001
15/10/2015,16.049999
16/10/2015,15.05
19/10/2015,14.98
20/10/2015,15.75
21/10/2015,16.700001
22/10/2015,14.45
23/10/2015,14.46
26/10/2015,15.29
27/10/2015,15.43
28/10/2015,14.33
29/10/2015,14.61
30/10/2015,15.07
02/11/2015,14.15
03/11/2015,14.54
04/11/2015,15.51
05/11/2015,15.05
06/11/2015,14.33
09/11/2015,16.52
10/11/2015,15.29
11/11/2015,16.059999
12/11/2015,18.370001
13/11/2015,20.08
16/11/2015,18.16
17/11/2015,18.84
18/11/2015,16.85
19/11/2015,16.99
20/11/2015,15.47
23/11/2015,15.62
24/11/2015,15.93
25/11/2015,15.19
27/11/2015,15.12
30/11/2015,16.129999
01/12/2015,14.67
02/12/2015,15.91
03/12/2015,18.110001
04/12/2015,14.81
07/12/2015,15.84
08/12/2015,17.6
09/12/2015,19.610001
10/12/2015,19.34
11/12/2015,24.389999
14/12/2015,22.73
15/12/2015,20.950001
16/12/2015,17.860001
17/12/2015,18.940001
18/12/2015,20.700001
21/12/2015,18.700001
22/12/2015,16.6
23/12/2015,15.57
24/12/2015,15.74
28/12/2015,16.91
29/12/2015,16.08
30/12/2015,17.290001
31/12/2015,18.209999
04/01/2016,20.700001
05/01/2016,19.34
06/01/2016,20.59
07/01/2016,24.99
08/01/2016,27.01
11/01/2016,24.299999
12/01/2016,22.469999
13/01/2016,25.219999
14/01/2016,23.950001
15/01/2016,27.02
19/01/2016,26.049999
20/01/2016,27.59
21/01/2016,26.690001
22/01/2016,22.34
25/01/2016,24.15
26/01/2016,22.5
27/01/2016,23.110001
28/01/2016,22.42
29/01/2016,20.200001
01/02/2016,19.98
02/02/2016,21.98
03/02/2016,21.65
04/02/2016,21.84
05/02/2016,23.379999
08/02/2016,26
09/02/2016,26.540001
10/02/2016,26.290001
11/02/2016,28.139999
12/02/2016,25.4
16/02/2016,24.110001
17/02/2016,22.309999
18/02/2016,21.639999
19/02/2016,20.530001
22/02/2016,19.379999
23/02/2016,20.98
24/02/2016,20.719999
25/02/2016,19.110001
26/02/2016,19.809999
29/02/2016,20.549999
01/03/2016,17.700001
02/03/2016,17.09
03/03/2016,16.700001
04/03/2016,16.860001
07/03/2016,17.35
08/03/2016,18.67
09/03/2016,18.34
10/03/2016,18.049999
11/03/2016,16.5
14/03/2016,16.92
15/03/2016,16.84
16/03/2016,14.99
17/03/2016,14.44
18/03/2016,14.02
21/03/2016,13.79
22/03/2016,14.17
23/03/2016,14.94
24/03/2016,14.74
28/03/2016,15.24
29/03/2016,13.82
30/03/2016,13.56
31/03/2016,13.95
01/04/2016,13.1
04/04/2016,14.12
05/04/2016,15.42
06/04/2016,14.09
07/04/2016,16.16
08/04/2016,15.36
11/04/2016,16.26
12/04/2016,14.85
13/04/2016,13.84
14/04/2016,13.72
15/04/2016,13.62
18/04/2016,13.35
19/04/2016,13.24
20/04/2016,13.28
21/04/2016,13.95
22/04/2016,13.22
25/04/2016,14.08
26/04/2016,13.96
27/04/2016,13.77
28/04/2016,15.22
29/04/2016,15.7
02/05/2016,14.68
03/05/2016,15.6
04/05/2016,16.049999
05/05/2016,15.91
06/05/2016,14.72
09/05/2016,14.57
10/05/2016,13.63
11/05/2016,14.69
12/05/2016,14.41
13/05/2016,15.04
16/05/2016,14.68
17/05/2016,15.57
18/05/2016,15.95
19/05/2016,16.33
20/05/2016,15.2
23/05/2016,15.82
24/05/2016,14.42
25/05/2016,13.9
26/05/2016,13.43
27/05/2016,13.12
31/05/2016,14.19
01/06/2016,14.2
02/06/2016,13.63
03/06/2016,13.47
06/06/2016,13.65
07/06/2016,14.05
08/06/2016,14.08
09/06/2016,14.64
10/06/2016,17.030001
13/06/2016,20.969999
14/06/2016,20.5
15/06/2016,20.139999
16/06/2016,19.370001
17/06/2016,19.41
20/06/2016,18.370001
21/06/2016,18.48
22/06/2016,21.17
23/06/2016,17.25
24/06/2016,25.76
27/06/2016,23.85
28/06/2016,18.75
29/06/2016,16.639999
30/06/2016,15.63
01/07/2016,14.77
05/07/2016,15.58
06/07/2016,14.96
07/07/2016,14.76
08/07/2016,13.2
11/07/2016,13.54
12/07/2016,13.55
13/07/2016,13.04
14/07/2016,12.82
15/07/2016,12.67
18/07/2016,12.44
19/07/2016,11.97
20/07/2016,11.77
21/07/2016,12.74
22/07/2016,12.02
25/07/2016,12.87
26/07/2016,13.05
27/07/2016,12.83
28/07/2016,12.72
29/07/2016,11.87
01/08/2016,12.44
02/08/2016,13.37
03/08/2016,12.86
04/08/2016,12.42
05/08/2016,11.39
08/08/2016,11.5
09/08/2016,11.66
10/08/2016,12.05
11/08/2016,11.68
12/08/2016,11.55
15/08/2016,11.81
16/08/2016,12.64
17/08/2016,12.19
18/08/2016,11.43
19/08/2016,11.34
22/08/2016,12.27
23/08/2016,12.38
24/08/2016,13.45
25/08/2016,13.63
26/08/2016,13.65
29/08/2016,12.94
30/08/2016,13.12
31/08/2016,13.42
01/09/2016,13.48
02/09/2016,11.98
06/09/2016,12.02
07/09/2016,11.94
08/09/2016,12.51
09/09/2016,17.5
12/09/2016,15.16
13/09/2016,17.85
14/09/2016,18.139999
15/09/2016,16.299999
16/09/2016,15.37
19/09/2016,15.53
20/09/2016,15.92
21/09/2016,13.3
22/09/2016,12.02
23/09/2016,12.29
26/09/2016,14.5
27/09/2016,13.1
28/09/2016,12.39
29/09/2016,14.02
30/09/2016,13.29
03/10/2016,13.57
04/10/2016,13.63
05/10/2016,12.99
06/10/2016,12.84
07/10/2016,13.48
10/10/2016,13.38
11/10/2016,15.36
12/10/2016,15.91
13/10/2016,16.690001
14/10/2016,16.120001
17/10/2016,16.209999
18/10/2016,15.28
19/10/2016,14.41
20/10/2016,13.75
21/10/2016,13.34
24/10/2016,13.02
25/10/2016,13.46
26/10/2016,14.24
27/10/2016,15.36
28/10/2016,16.190001
31/10/2016,17.059999
01/11/2016,18.559999
02/11/2016,19.32
03/11/2016,22.08
04/11/2016,22.51
07/11/2016,18.709999
08/11/2016,18.74
09/11/2016,14.38
10/11/2016,14.74
11/11/2016,14.17
14/11/2016,14.48
15/11/2016,13.37
16/11/2016,13.72
17/11/2016,13.35
18/11/2016,12.85
21/11/2016,12.42
22/11/2016,12.41
23/11/2016,12.43
25/11/2016,12.34
28/11/2016,13.15
29/11/2016,12.9
30/11/2016,13.33
01/12/2016,14.07
02/12/2016,14.12
05/12/2016,12.14
06/12/2016,11.79
07/12/2016,12.22
08/12/2016,12.64
09/12/2016,11.75
12/12/2016,12.64
13/12/2016,12.72
14/12/2016,13.19
15/12/2016,12.79
16/12/2016,12.2
19/12/2016,11.71
20/12/2016,11.45
21/12/2016,11.27
22/12/2016,11.43
23/12/2016,11.44
27/12/2016,11.99
28/12/2016,12.95
29/12/2016,13.37
30/12/2016,14.04
03/01/2017,12.85
04/01/2017,11.85
05/01/2017,11.67
06/01/2017,11.32
09/01/2017,11.56
10/01/2017,11.49
11/01/2017,11.26
12/01/2017,11.54
13/01/2017,11.23
17/01/2017,11.87
18/01/2017,12.48
19/01/2017,12.78
20/01/2017,11.54
23/01/2017,11.77
24/01/2017,11.07
25/01/2017,10.81
26/01/2017,10.63
27/01/2017,10.58
30/01/2017,11.88
31/01/2017,11.99
01/02/2017,11.81
02/02/2017,11.93
03/02/2017,10.97
06/02/2017,11.37
07/02/2017,11.29
08/02/2017,11.45
09/02/2017,10.88
10/02/2017,10.85
13/02/2017,11.07
14/02/2017,10.74
15/02/2017,11.97
16/02/2017,11.76
17/02/2017,11.49
21/02/2017,11.57
22/02/2017,11.74
23/02/2017,11.71
24/02/2017,11.47
27/02/2017,12.09
28/02/2017,12.92
01/03/2017,12.54
02/03/2017,11.81
03/03/2017,10.96
06/03/2017,11.24
07/03/2017,11.45
08/03/2017,11.86
09/03/2017,12.3
10/03/2017,11.66
13/03/2017,11.35
14/03/2017,12.3
15/03/2017,11.63
16/03/2017,11.21
17/03/2017,11.28
20/03/2017,11.34
21/03/2017,12.47
22/03/2017,12.81
23/03/2017,13.12
24/03/2017,12.96
27/03/2017,12.5
28/03/2017,11.53
29/03/2017,11.42
30/03/2017,11.54
31/03/2017,12.37
03/04/2017,12.38
04/04/2017,11.79
05/04/2017,12.89
06/04/2017,12.39
07/04/2017,12.87
10/04/2017,14.05
11/04/2017,15.07
12/04/2017,15.77
13/04/2017,15.96
17/04/2017,14.66
18/04/2017,14.42
19/04/2017,14.93
20/04/2017,14.15
21/04/2017,14.63
24/04/2017,10.84
25/04/2017,10.76
26/04/2017,10.85
27/04/2017,10.36
28/04/2017,10.82
01/05/2017,10.11
02/05/2017,10.59
03/05/2017,10.68
04/05/2017,10.46
05/05/2017,10.57
08/05/2017,9.77
09/05/2017,9.96
10/05/2017,10.21
11/05/2017,10.6
12/05/2017,10.4
15/05/2017,10.42
16/05/2017,10.65
17/05/2017,15.59
18/05/2017,14.66
19/05/2017,12.04
22/05/2017,10.93
23/05/2017,10.72
24/05/2017,10.02
25/05/2017,9.99
26/05/2017,9.81
30/05/2017,10.38
31/05/2017,10.41
01/06/2017,9.89
02/06/2017,9.75
05/06/2017,10.07
06/06/2017,10.45
07/06/2017,10.39
08/06/2017,10.16
09/06/2017,10.7
12/06/2017,11.46
13/06/2017,10.42
14/06/2017,10.64
15/06/2017,10.9
16/06/2017,10.38
19/06/2017,10.37
20/06/2017,10.86
21/06/2017,10.75
22/06/2017,10.48
23/06/2017,10.02
26/06/2017,9.9
27/06/2017,11.06
28/06/2017,10.03
29/06/2017,11.44
30/06/2017,11.18
03/07/2017,11.22
05/07/2017,11.07
06/07/2017,12.54
07/07/2017,11.19
10/07/2017,11.11
11/07/2017,10.89
12/07/2017,10.3
13/07/2017,9.9
14/07/2017,9.51
17/07/2017,9.82
18/07/2017,9.89
19/07/2017,9.79
20/07/2017,9.58
21/07/2017,9.36
24/07/2017,9.43
25/07/2017,9.43
26/07/2017,9.6
27/07/2017,10.11
28/07/2017,10.29
31/07/2017,10.26
01/08/2017,10.09
02/08/2017,10.28
03/08/2017,10.44
04/08/2017,10.03
07/08/2017,9.93
08/08/2017,10.96
09/08/2017,11.11
10/08/2017,16.040001
11/08/2017,15.51
14/08/2017,12.33
15/08/2017,12.04
16/08/2017,11.74
17/08/2017,15.55
18/08/2017,14.26
21/08/2017,13.19
22/08/2017,11.35
23/08/2017,12.25
24/08/2017,12.23
25/08/2017,11.28
28/08/2017,11.32
29/08/2017,11.7
30/08/2017,11.22
31/08/2017,10.59
01/09/2017,10.13
05/09/2017,12.23
06/09/2017,11.63
07/09/2017,11.55
08/09/2017,12.12
11/09/2017,10.73
12/09/2017,10.58
13/09/2017,10.5
14/09/2017,10.44
15/09/2017,10.17
18/09/2017,10.15
19/09/2017,10.18
20/09/2017,9.78
21/09/2017,9.67
22/09/2017,9.59
25/09/2017,10.21
26/09/2017,10.17
27/09/2017,9.87
28/09/2017,9.55
29/09/2017,9.51
02/10/2017,9.45
03/10/2017,9.51
04/10/2017,9.63
05/10/2017,9.19
06/10/2017,9.65
09/10/2017,10.33
10/10/2017,10.08
11/10/2017,9.85
12/10/2017,9.91
13/10/2017,9.61
16/10/2017,9.91
17/10/2017,10.31
18/10/2017,10.07
19/10/2017,10.05
20/10/2017,9.97
23/10/2017,11.07
24/10/2017,11.16
25/10/2017,11.23
26/10/2017,11.3
27/10/2017,9.8
30/10/2017,10.5
31/10/2017,10.18
01/11/2017,10.2
02/11/2017,9.93
03/11/2017,9.14
06/11/2017,9.4
07/11/2017,9.89
08/11/2017,9.78
09/11/2017,10.5
10/11/2017,11.29
13/11/2017,11.5
14/11/2017,11.59
15/11/2017,13.13
16/11/2017,11.76
17/11/2017,11.43
20/11/2017,10.65
21/11/2017,9.73
22/11/2017,9.88
24/11/2017,9.67
27/11/2017,9.87
28/11/2017,10.03
29/11/2017,10.7
30/11/2017,11.28
01/12/2017,11.43
04/12/2017,11.68
05/12/2017,11.33
06/12/2017,11.02
07/12/2017,10.16
08/12/2017,9.58
11/12/2017,9.34
12/12/2017,9.92
13/12/2017,10.18
14/12/2017,10.49
15/12/2017,9.42
18/12/2017,9.53
19/12/2017,10.03
20/12/2017,9.72
21/12/2017,9.62
22/12/2017,9.9
26/12/2017,10.25
27/12/2017,10.47
28/12/2017,10.18
29/12/2017,11.04
02/01/2018,9.77
03/01/2018,9.15
04/01/2018,9.22
05/01/2018,9.22
08/01/2018,9.52
09/01/2018,10.08
10/01/2018,9.82
11/01/2018,9.88
12/01/2018,10.16
16/01/2018,11.66
17/01/2018,11.91
18/01/2018,12.22
19/01/2018,11.27
22/01/2018,11.03
23/01/2018,11.1
24/01/2018,11.47
25/01/2018,11.58
26/01/2018,11.08
29/01/2018,13.84
30/01/2018,14.79
31/01/2018,13.54
01/02/2018,13.47
02/02/2018,17.309999
05/02/2018,37.32
06/02/2018,29.98
07/02/2018,27.73
08/02/2018,33.459999
09/02/2018,29.059999
12/02/2018,25.610001
13/02/2018,24.969999
14/02/2018,19.26
15/02/2018,19.129999
16/02/2018,19.459999
20/02/2018,20.6
21/02/2018,20.02
22/02/2018,18.719999
23/02/2018,16.49
26/02/2018,15.8
27/02/2018,18.59
28/02/2018,19.85
01/03/2018,22.469999
02/03/2018,19.59
05/03/2018,18.73
06/03/2018,18.360001
07/03/2018,17.76
08/03/2018,16.540001
09/03/2018,14.64
12/03/2018,15.78
13/03/2018,16.35
14/03/2018,17.23
15/03/2018,16.59
16/03/2018,15.8
19/03/2018,19.02
20/03/2018,18.200001
21/03/2018,17.860001
22/03/2018,23.34
23/03/2018,24.870001
26/03/2018,21.030001
27/03/2018,22.5
28/03/2018,22.870001
29/03/2018,19.969999
02/04/2018,23.620001
03/04/2018,21.1
04/04/2018,20.059999
05/04/2018,18.940001
06/04/2018,21.49
09/04/2018,21.77
10/04/2018,20.469999
11/04/2018,20.24
12/04/2018,18.49
13/04/2018,17.41
16/04/2018,16.559999
17/04/2018,15.25
18/04/2018,15.6
19/04/2018,15.96
20/04/2018,16.879999
23/04/2018,16.34
24/04/2018,18.02
25/04/2018,17.84
26/04/2018,16.24
27/04/2018,15.41
30/04/2018,15.93
01/05/2018,15.49
02/05/2018,15.97
03/05/2018,15.9
04/05/2018,14.77
07/05/2018,14.75
08/05/2018,14.71
09/05/2018,13.42
10/05/2018,13.23
11/05/2018,12.65
14/05/2018,12.93
15/05/2018,14.63
16/05/2018,13.42
17/05/2018,13.43
18/05/2018,13.42
21/05/2018,13.08
22/05/2018,13.22
23/05/2018,12.58
24/05/2018,12.53
25/05/2018,13.22
29/05/2018,17.02
30/05/2018,14.94
31/05/2018,15.43
01/06/2018,13.46
04/06/2018,12.74
05/06/2018,12.4
06/06/2018,11.64
07/06/2018,12.13
08/06/2018,12.18
11/06/2018,12.35
12/06/2018,12.34
13/06/2018,12.94
14/06/2018,12.12
15/06/2018,11.98
18/06/2018,12.31
19/06/2018,13.35
20/06/2018,12.79
21/06/2018,14.64
22/06/2018,13.77
25/06/2018,17.33
26/06/2018,15.92
27/06/2018,17.91
28/06/2018,16.85
29/06/2018,16.09
02/07/2018,15.6
03/07/2018,16.139999
05/07/2018,14.97
06/07/2018,13.37
09/07/2018,12.69
10/07/2018,12.64
11/07/2018,13.63
12/07/2018,12.58
13/07/2018,12.18
16/07/2018,12.83
17/07/2018,12.06
18/07/2018,12.1
19/07/2018,12.87
20/07/2018,12.86
23/07/2018,12.62
24/07/2018,12.41
25/07/2018,12.29
26/07/2018,12.14
27/07/2018,13.03
30/07/2018,14.26
31/07/2018,12.83
01/08/2018,13.15
02/08/2018,12.19
03/08/2018,11.64
06/08/2018,11.27
07/08/2018,10.93
08/08/2018,10.85
09/08/2018,11.27
10/08/2018,13.16
13/08/2018,14.78
14/08/2018,13.31
15/08/2018,14.64
16/08/2018,13.45
17/08/2018,12.64
20/08/2018,12.49
21/08/2018,12.86
22/08/2018,12.25
23/08/2018,12.41
24/08/2018,11.99
27/08/2018,12.16
28/08/2018,12.5
29/08/2018,12.25
30/08/2018,13.53
31/08/2018,12.86
04/09/2018,13.16
05/09/2018,13.91
06/09/2018,14.65
07/09/2018,14.88
10/09/2018,14.16
11/09/2018,13.22
12/09/2018,13.14
13/09/2018,12.37
14/09/2018,12.07
17/09/2018,13.68
18/09/2018,12.79
19/09/2018,11.75
20/09/2018,11.8
21/09/2018,11.68
24/09/2018,12.2
25/09/2018,12.42
26/09/2018,12.89
27/09/2018,12.41
28/09/2018,12.12
01/10/2018,12
02/10/2018,12.05
03/10/2018,11.61
04/10/2018,14.22
05/10/2018,14.82
08/10/2018,15.69
09/10/2018,15.95
10/10/2018,22.959999
11/10/2018,24.98
12/10/2018,21.309999
15/10/2018,21.299999
16/10/2018,17.620001
17/10/2018,17.4
18/10/2018,20.059999
19/10/2018,19.889999
22/10/2018,19.639999
23/10/2018,20.709999
24/10/2018,25.23
25/10/2018,24.219999
26/10/2018,24.16
29/10/2018,24.700001
30/10/2018,23.35
31/10/2018,21.23
01/11/2018,19.34
02/11/2018,19.51
05/11/2018,19.959999
06/11/2018,19.91
07/11/2018,16.360001
08/11/2018,16.719999
09/11/2018,17.360001
12/11/2018,20.450001
13/11/2018,20.02
14/11/2018,21.25
15/11/2018,19.98
16/11/2018,18.139999
19/11/2018,20.1
20/11/2018,22.48
21/11/2018,20.799999
23/11/2018,21.52
26/11/2018,18.9
27/11/2018,19.02
28/11/2018,18.49
29/11/2018,18.790001
30/11/2018,18.07
03/12/2018,16.440001
04/12/2018,20.74
06/12/2018,21.190001
07/12/2018,23.23
10/12/2018,22.639999
11/12/2018,21.76
12/12/2018,21.459999
13/12/2018,20.65
14/12/2018,21.629999
17/12/2018,24.52
18/12/2018,25.58
19/12/2018,25.58
20/12/2018,28.379999
21/12/2018,30.110001
24/12/2018,36.07
26/12/2018,30.41
27/12/2018,29.959999
28/12/2018,28.34